forest	plot	parcel	denarb	diamarbo	altfent	densfen	hume	matorg	amon	nitrat	don	doc	fosfatos	basal	sir	coefmet	c10	c11	c12	c13	i14	c14	c14_1	i15	a15	c15	i16	c15_1	c16	c16_1c	a17	c17	cy17	c17_1c	c18	c18_1n9t	c18_1n9c	c18_1n7c	c18_2n6t	c18_2n6c	cy19	c18_3n6	c18_3n3	c20	totalPLFA	bacteria	hong_bact	hongos
eucalyptus	E01	a	1873.864167	76	136	224	0.18128655	0.157142857	6.197984435	12.38897209	61.41776938	1053.453281	34.82764108	4.218944099	27.19596273	0.155131265	0.12343842	0	0.220506625	0.016136804	0	1.161207887	0.018706862	2.726401372	0	0.122735569	0.3741366	0.072136489	5.897691689	0.377854987	0.77125396	0.384555789	8.921291711	0.100260701	55.63335761	0.417885686	6.215318279	8.075159946	4.721877558	0	0	0.529679254	0	0	105.5491867	30.52124351	0.185093844	11.35508152
eucalyptus	E01	b	780.0929856	78.33333333	143	192	0.18125	0.20610687	5.582483788	10.44007347	70.67702712	1089.117131	24.4795112	7.973958234	28.54543032	0.279342723	0.152034963	0	0.430473825	0.031015051	0	1.078222414	0.071797053	6.2965242	0.924925921	0.392158076	1.634668087	0.248505862	6.800836637	1.002945013	1.283185648	0.60745953	8.161219372	0.539223983	2.613807096	0.109026433	0.485334533	14.87302797	0.441515457	0.092095653	7.137213762	0	0.103272442	0.179030172	55.68951916	42.85255157	0.013161084	1.127972077
eucalyptus	E01	c	950.4886436	87.33333333	102	144	0.256578947	0.274336283	9.504313263	13.36220348	60.10553268	1215.28082	17.65195721	7.764259463	34.75430426	0.223404255	0.163928653	0	0.375512106	0.026645753	0	0.928775207	0.312985687	4.101385104	0.39280675	0.234499395	0.93645158	0.025010699	9.736539333	0.626014833	1.123812997	0.757554423	8.064294738	0.458900989	4.073698975	0.099262078	0.335601246	10.49838255	0.257556781	0	6.93222483	0	0.109280925	0.160975643	50.73210127	34.12632818	0.01004451	0.692420104
eucalyptus	E01	d	499.9192524	106.6666667	171	192	0.186046512	0.228571429	8.835116928	13.78798305	49.38878185	675.6353794	27.82517663	8.19047619	25.24277908	0.324468085	0.093036854	0	0.318821663	0.037259234	0	0.868642952	0.06989801	4.875393658	0.74934111	0.209695762	1.194119777	0.133324651	7.822433761	0.540748177	1.175973039	0.599347914	8.160587066	0.470516255	2.474265112	0.091214909	0.408327726	10.4106504	0.23283614	0.2164258	6.997364751	0.097065298	0.096733271	0.17716069	48.52118398	35.38373791	0.013407354	0.948804574
eucalyptus	E02	a	1902.953473	96.66666667	178	96	0.2	0.197916667	6.683402944	17.85974357	100.7623276	1074.25057	18.83672056	3.641490927	18.20745463	0.2	0.091549176	0	0.149113639	0	0	0.565038585	0.088469142	0	0	0.10469266	0.176581656	0.031866424	6.848817621	0.028219287	0.53219332	0.451052218	7.967647075	0.07135301	4.615869803	0.092129201	0.242736113	7.421939191	0.144565046	0	0	0	0.090700317	0	29.71453348	16.75367842	0.014166546	0.47943036
eucalyptus	E02	b	1473.039668	130.3333333	143	96	0.164556962	0.174242424	7.769224798	17.68785799	129.0894592	968.8391088	14.74683327	5.174958541	21.74792703	0.237951807	0.099309898	0	0.176505894	0	0	0.453492141	0.11289661	0	0	0.100858144	0.210906678	0.044864407	5.766002868	0.024938249	0.521342402	0.374432319	8.040609494	0.066732884	3.203269112	0.08475176	0.234254918	7.656031904	0.092000722	0	0	0.145576068	0	0	27.40877647	16.99585207	0.012091403	0.4110074
eucalyptus	E02	c	926.7061347	85.66666667	140	64	0.166666667	0.148148148	7.608630686	15.58663559	88.50098619	1129.191321	16.76681507	5.305882353	20.05882353	0.264516129	0.105103515	0	0.170094628	0	0	0.508856365	0.097493629	0	0	0.127917745	0.267371315	0.068862929	6.013838081	0.082627377	0.57349315	0.391090312	7.937417177	0.104682869	3.427823997	0.092290375	0.239520605	6.781972252	0.095395446	0	0	0	0.093235651	0	27.17908742	16.2665722	0.012937361	0.427206426
eucalyptus	E02	d	569.900648	106	156	80	0.175531915	0.141935484	10.06335896	15.12130825	81.04439242	824.0349437	16.78176581	4.198511166	27.45693017	0.152912621	0.235243347	0	1.109683489	0.155766826	0.067705986	3.117461572	0.135310659	17.69308468	3.987832207	0.615565649	3.829224425	0.825994154	10.96023572	0.102847163	2.051306119	0.871593151	8.447148756	1.004964366	3.016153724	0.106557258	0.647480756	13.39147264	0.458990752	0.112991051	7.253744099	0.109625109	0	0.177662955	80.48564662	59.31648924	0.011177497	1.326019816
eucalyptus	E03	a	163.6710742	49	60	160	0.153543307	0.241860465	21.69317631	12.92122029	94.4661206	725.8736071	19.49376226	6.595029618	15.45121225	0.426829268	0.120046711	0	0.321998891	0.018528438	0	0.920752081	0.098569473	4.808270247	0.324022016	0.243487842	1.162974938	0.176919953	9.683237318	0.490264409	0.892251986	0.735930597	8.054563407	0.39067867	3.674359746	0.092729519	0.364408209	9.940882071	0.236406022	0.285642019	6.852797153	0	0	0	49.88972172	33.89612334	0.014300911	0.979185768
eucalyptus	E03	b	295.8703356	55.33333333	50	128	0.11259542	0.137634409	20.91547127	8.348999953	72.07925397	418.6641099	11.6664391	5.203591753	9.911603338	0.525	0.120022387	0	0.167852476	0.038109384	0	0.319663461	0.010850407	0	0	0.102874063	0.141809674	0.051920621	4.26292533	0.024790776	0.51514826	0.25716038	8.036072153	0.099320695	2.26407544	0.094770899	0.232891393	7.47462033	0.145749717	0.075351289	0	0	0	0.17558289	24.61156202	16.65179633	0.016395622	0.548763299
