eucalyptus01	eucalyptus01	eucalyptus01	eucalyptus01	eucalyptus02	eucalyptus02	eucalyptus02	eucalyptus02	eucalyptus03	eucalyptus03	eucalyptus03	eucalyptus03	eucalyptus04	eucalyptus04	eucalyptus04	eucalyptus04	pine01	pine01	pine01	pine01	pine02	pine02	pine02	pine02	pine03	pine03	pine03	pine03	pine04	pine04	pine04	pine04	oak01	oak01	oak01	oak01	oak02	oak02	oak02	oak02	oak03	oak03	oak03	oak03	oak04	oak04	oak04	oak04
c10	0.12343842	0.152034963	0.163928653	0.093036854	0.091549176	0.099309898	0.105103515	0.235243347	0.120046711	0.120022387	0.069466137	0	0.125856805	0.082038602	0.095633892	0.115330564	0.10763546	0.09032242	0.091398451	0.101928901	0.127733717	0.114252485	0.117866559	0.106711955	0.092934195	0.12931552	0.105761421	0.089706396	0.098283043	0.094088739	0.280795335	0.106210246	0.160061309	0.129592138	0.218759687	0.147745267	0.14617303	0.848279965	0.148536341	0.184552074	0.552606874	0.200077555	0.116727437	0	0.106744677	0.084551006	0.158700869	0.111795865
c11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035163771	0	0	0	0	0	0	0
c12	0.220506625	0.430473825	0.375512106	0.318821663	0.149113639	0.176505894	0.170094628	1.109683489	0.321998891	0.167852476	0	0	0	0	0	0.13455365	0	0	0.136121136	0.154309704	0.22906391	0.154340522	0.257741101	0.143904137	0.137989238	0.297735513	0.186246037	0.133002097	0.142866102	0.14070166	0.874700556	0.185662206	0.219667427	0.186807837	0.360790666	0.275128036	0.211421366	0.855291078	0.233670815	0.284530807	0.870084368	0.326252721	0.669516666	0.210832604	0	0.429460076	0.276100655	0.151737242
c13	0.016136804	0.031015051	0.026645753	0.037259234	0	0	0	0.155766826	0.018528438	0.038109384	0	0	0.016933725	0	0.016913364	0.017794978	0.015922544	0.006586953	0.00681187	0.014392646	0	0.006674365	0.022694269	0.010586636	0.008453314	0.023598285	0.009464946	0	0	0.002453153	0.160847086	0.011655956	0.048097831	0	0.079722324	0	0	0.214653542	0	0.070698625	0.164449694	0.097367889	0.138173289	0.03081597	0.027484742	0.083113924	0.036420103	0
i14	0	0	0	0	0	0	0	0.067705986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.765002083	0	0	0.636909155	0	1.217533833	0	0	0	0	0
c14	1.161207887	1.078222414	0.928775207	0.868642952	0.565038585	0.453492141	0.508856365	3.117461572	0.920752081	0.319663461	0.319604629	0.332987222	0.580145552	0.349577843	0.453477014	0.657216656	0.577998797	0.427800103	0.362738108	0.656859021	0.713420204	0.60024471	0.958025724	0.476836106	0.294411994	0.772473152	0.54181687	0.439834993	0.367982882	0.347339141	3.4762609	0.632452177	1.043826711	1.113172834	1.838058884	1.425235458	1.157803139	4.5474565	1.32281553	1.743057814	2.717537231	1.088989548	3.011906317	0.682818248	0.360728643	1.282627271	0.846040162	0.488339363
c14_1	0.018706862	0.071797053	0.312985687	0.06989801	0.088469142	0.11289661	0.097493629	0.135310659	0.098569473	0.010850407	0.525096877	0.067548162	0.378347248	0.301778753	0.117953166	0.124203451	0.052293085	0.002084306	0.115486337	0.269905819	0.149749077	0.123070685	0.422954065	0.167794959	0.028894626	0.022443348	0.057883224	0.067011283	0.018046835	0.10708133	0.07120565	0.192557426	0.166150038	0.7499062	0.217599859	0.635607907	0	0.668631534	0.088887996	0.091583455	0.159655848	1.241045482	0.044520385	0.087601797	0.161743643	0.091911347	0.086263855	0.087279672
i15	2.726401372	6.2965242	4.101385104	4.875393658	0	0	0	17.69308468	4.808270247	0	0	0	3.825903499	0	0	1.638076218	2.923517887	3.024482555	0	0	4.195373024	0	4.417850664	1.766635937	2.407398206	3.376997315	3.945649808	2.434442691	0	0	9.397725111	2.090875118	4.33016472	5.520815945	13.11303526	5.750145753	4.429515471	52.97437058	5.382535115	13.08709581	31.76202017	8.819113272	37.43252304	0	3.380144018	15.6868946	7.287284642	3.583001226
a15	0	0.924925921	0.39280675	0.74934111	0	0	0	3.987832207	0.324022016	0	0	0	0	0	0	0	0	0	0	0	0.349417644	0	0.255300647	0	0	0	0.033952877	0	0	0	3.653552049	0.072313381	0.399470895	0.454701683	3.37974485	0.950104978	0.550239239	15.54004524	0.954796721	3.174701666	7.788692502	1.242548853	10.37747038	0	0	3.530412847	1.375212751	0.101437212
c15	0.122735569	0.392158076	0.234499395	0.209695762	0.10469266	0.100858144	0.127917745	0.615565649	0.243487842	0.102874063	0.076191529	0.080432087	0.117108142	0.06519131	0.093118057	0.111982823	0.110029242	0.107309598	0.069359637	0.116216921	0.16137562	0.108860173	0.180854945	0.096777035	0.077624915	0.161015687	0.107806043	0.07894795	0.075589955	0.054397982	0.606875707	0.120356724	0.257243445	0.230447928	0.441237857	0.298282424	0.217025371	2.278635266	0.303551669	0.52415987	1.113664733	0.312429978	1.169231929	0.146555919	0.090914773	0.371157182	0.207019655	0.110625055
i16	0.3741366	1.634668087	0.93645158	1.194119777	0.176581656	0.210906678	0.267371315	3.829224425	1.162974938	0.141809674	0.289212507	0.159271778	0.45712906	0.138714542	0.159449081	0.287633877	0.261028329	0.304851614	0.151122647	0.230032229	0.648421954	0.241198859	0.786300962	0.256868778	0.254766034	0.581795543	0.690734923	0.194935241	0.160403058	0.103583666	3.21736543	0.467355837	0.546511717	0.848970259	2.64433362	1.055341192	0.813570335	18.26442824	1.016195732	2.795982086	8.740147197	1.55585846	10.69717346	0.452554661	0.370159399	3.199382036	1.426888106	0.522776455
c15_1	0.072136489	0.248505862	0.025010699	0.133324651	0.031866424	0.044864407	0.068862929	0.825994154	0.176919953	0.051920621	0	0	0.112434803	0	0	0.067129219	0	0.025658993	0.033799409	0.060299426	0.043512127	0	0.225389167	0	0	0.208579951	0.091076343	0.009530274	0	0.041289679	0	0.094266608	0.113957044	0	0.102148348	0.12632374	0.12604896	0.062081923	0	0	1.012300769	0.228558997	1.152341814	0.033846642	0	0.032558645	0.200433598	0.065375331
c16	5.897691689	6.800836637	9.736539333	7.822433761	6.848817621	5.766002868	6.013838081	10.96023572	9.683237318	4.26292533	4.821719484	5.584123698	6.617646008	4.798672965	6.213797393	5.915288592	7.108125366	6.849952418	5.885796829	8.955829923	8.762473343	8.304846224	10.18961696	5.588497409	3.281354153	6.836997475	5.281487548	6.908977636	5.513909249	5.596886169	17.15844741	7.503298093	12.00061406	14.26373483	17.2607232	14.69798797	13.11610563	29.72267165	14.88213217	17.18378252	17.70821584	9.642472262	20.87767457	8.457269562	5.565374172	11.63409062	8.641985983	6.849325175
c16_1c	0.377854987	1.002945013	0.626014833	0.540748177	0.028219287	0.024938249	0.082627377	0.102847163	0.490264409	0.024790776	0.082735759	0.171130403	0.358711612	0.076908497	0.071087676	0.197429264	0.188835084	0.197630463	0.847227828	0.105377831	0.507799372	0.161968616	0.651184797	0	0.187249367	0.827547058	0.3870824	0.059344801	0.320120628	0.156290315	0.010199218	0.366473287	0.17547591	0.769540834	2.625312476	0.962749726	0.706790812	15.03174571	0.856111722	3.103032176	7.37257788	1.11428714	10.1451709	0.268627271	0.246064527	3.029996396	1.1534308	0.291755496
a17	0.77125396	1.283185648	1.123812997	1.175973039	0.53219332	0.521342402	0.57349315	2.051306119	0.892251986	0.51514826	0.571362218	0	0.717864624	0.576394819	0.655328898	0.634776973	0.806096533	0.723535202	0	1.967740009	0.815256318	0.696886883	0.978820185	0.741320444	0	0.818790922	0.740385579	0.528495594	0.498260202	0.570646116	3.19273087	1.049383994	0.577597535	1.492436708	3.493424142	1.47057445	1.670525476	8.483844802	1.726314387	5.457343013	3.596243219	1.327346128	5.997581767	0.831390199	0.845129224	2.008179845	1.86064307	0.865403527
c17	0.384555789	0.60745953	0.757554423	0.599347914	0.451052218	0.374432319	0.391090312	0.871593151	0.735930597	0.25716038	0.249387005	0.30555718	0.386726093	0.296240032	0.426147226	0.37043463	0.41426335	0.42073981	0.438292467	0.590380017	0.61760649	0.551936377	0.831049325	0.378519824	0.186605693	0.437571773	0.316467762	0.442231965	0.33280894	0.326425694	1.508290821	0.518830497	1.020025754	1.082368834	1.648560466	1.187665982	1.032873415	4.912078841	1.396569827	1.701253752	1.443127101	0.683386542	2.354179958	0.601586359	0.361360189	1.08042892	0.668610245	0.467412135
cy17	8.921291711	8.161219372	8.064294738	8.160587066	7.967647075	8.040609494	7.937417177	8.447148756	8.054563407	8.036072153	8.016944176	7.977274325	8.02808074	8.024944315	7.934220297	8.248182928	8.05717333	7.949642258	7.968660359	7.993866987	7.984999129	7.926552233	8.06751158	7.929711255	7.937276565	8.054925116	8.071094374	8.005734911	7.992031487	0	8.059630465	8.05110848	8.047146558	0	8.039283953	7.95359923	7.953185742	8.646483042	8.020172923	8.114066039	8.670632	8.115663872	8.794228082	7.868797318	7.897639143	8.237157737	8.065079127	7.931479629
c17_1c	0.100260701	0.539223983	0.458900989	0.470516255	0.07135301	0.066732884	0.104682869	1.004964366	0.39067867	0.099320695	0.160479876	0.131800206	0.201037245	0.164768656	0	0.11808166	0.26409785	0.294264089	0.166798002	0.172895797	0.298409982	0.07767186	0.318005174	0.12479085	0.138209097	0.215898129	0.243255259	0.152685654	0.037378175	0	0.738270615	0.193146443	0.208143662	0.62712194	1.559903422	0.567166418	0.447429891	8.616622812	0.605063843	2.017238273	3.094891671	0.53408714	6.14261376	0.206898849	0.186349164	1.683368943	0.55314806	0.241405502
c18	55.63335761	2.613807096	4.073698975	2.474265112	4.615869803	3.203269112	3.427823997	3.016153724	3.674359746	2.26407544	2.236536142	3.022803986	2.754779237	2.404830599	2.528728922	16.32276166	2.589433598	2.355822846	2.726620967	2.617853945	2.394927653	2.60332391	2.634688454	2.451248482	1.615497418	2.215761108	1.546434309	2.929995324	2.283789138	2.247212779	2.396773059	2.276818516	2.738855882	2.692685652	2.943358344	2.911704122	3.074898582	2.673733194	2.46603719	2.27649245	2.94054262	2.360817411	2.516349925	2.07405929	1.695326605	2.222674174	1.923534222	1.878341951
c18_1n9t	0.417885686	0.109026433	0.099262078	0.091214909	0.092129201	0.08475176	0.092290375	0.106557258	0.092729519	0.094770899	0	0.094172242	0.088090862	0.08656097	0	0.173333751	0	0.093188919	0	0	0.094271847	0	0.093360891	0.089174916	0.093304572	0.090387664	0.090334886	0	0.09038787	0.091766445	0	0.068633897	0.099515973	0.112940288	0.11178754	0.090660967	0.106215575	0.152313322	0.088196602	0.102130083	0.146490836	0.093693229	0.201117721	0	0	0.100644248	0.096122261	0.095058257
c18_1n9c	6.215318279	0.485334533	0.335601246	0.408327726	0.242736113	0.234254918	0.239520605	0.647480756	0.364408209	0.232891393	0.243305163	0.223653254	0.172862504	0.235683061	0.205795581	1.716253983	0.14410291	0.151749264	0.213959325	0.2123308	0.149672836	0.21301737	0.183217351	0.276170788	0.308969918	0.145988554	0.183915785	0.154508638	0.189301799	0.188480169	0.355524258	0.192693474	0.180593331	0.192469474	0.460700864	0.208694248	0.194110939	1.285330719	0.209749568	0.444416118	1.198394746	0.324703227	1.142524464	0.170665207	0.147227474	0.397013453	0.414161955	0.153352785
c18_1n7c	8.075159946	14.87302797	10.49838255	10.4106504	7.421939191	7.656031904	6.781972252	13.39147264	9.940882071	7.47462033	6.689209515	7.395286476	7.35324025	7.824171617	7.614767982	7.590471197	6.98152601	7.065271875	7.68399519	6.648477161	8.969248341	0	8.531053897	6.728698286	6.877830721	7.735323441	7.765996129	6.75316748	6.737644835	7.320852777	18.8438489	7.437525658	8.431235705	9.156766155	24.44275403	9.521767933	9.192128049	116.8048095	10.43063376	24.98183957	34.66969679	13.27634743	52.04222626	7.655982456	7.463250387	20.7826039	16.19437853	8.277110136
c18_2n6t	4.721877558	0.441515457	0.257556781	0.23283614	0.144565046	0.092000722	0.095395446	0.458990752	0.236406022	0.145749717	0.090914943	0.075813839	0.109885536	0.134913272	0.122160387	1.280699272	0.082364511	0.090618854	0	0.078248901	0.12816366	0.083692128	0.124253783	0.095513078	0.100252287	0.096386881	0.121558705	0.086658013	0.08218394	0	0.241722552	0.101761873	0.109094769	0.109000245	0.32564856	0.126791106	0.129413896	0.114081862	0.121502034	0.29056622	1.020737514	0.250395598	0.128025113	0.101858727	0.104402922	0.369766385	0.19685787	0.109774755
c18_2n6c	0	0.092095653	0	0.2164258	0	0	0	0.112991051	0.285642019	0.075351289	0.105879605	0	0	0	0	0.018837822	0	0	0	0	0.075935092	0	0	0	0	0.086951818	0.258365933	0	0.073158744	0	0.261860512	0.082972618	0	0	0.077181531	0	0	1.813438347	0.148429718	0.366487132	1.139223213	0.093304887	1.054338763	0.09694223	0	0.325914466	0.17855346	0
cy19	0	7.137213762	6.93222483	6.997364751	0	0	0	7.253744099	6.852797153	0	6.846559178	0	6.862341049	0	0	1.715585262	7.458703386	6.774144956	0	0	6.848085624	6.773417503	6.918458145	0	6.780651114	6.906944435	6.936281394	6.839824307	0	0	7.007849667	3.463684885	6.889589385	6.806426488	7.014754678	6.827303875	6.820345025	8.650500346	6.885963883	7.06900303	8.329326667	6.998466372	8.307238991	6.751456899	6.766629438	7.282457006	6.99492634	6.79718986
c18_3n6	0.529679254	0	0	0.097065298	0	0.145576068	0	0.109625109	0	0	0.107439004	0	0.102366588	0	0.185030676	0.158011461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105599112	0	0	0	0	0	0	0.441115496	0	0.100819421	0	0	0	0	0	0	0	0
c18_3n3	0	0.103272442	0.109280925	0.096733271	0.090700317	0	0.093235651	0	0	0	0.094521588	0	0.098156009	0	0.127282315	0.047326893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092784516	0	0.154101427	0	0.256354136	0.12978001	0	0.109091914	0	0	0.094489946	0	0
c20	0	0.179030172	0.160975643	0.17716069	0	0	0	0.177662955	0	0.17558289	0	0	0.176924601	0	0	0.088126873	0.165324731	0.156947494	0	0	0.171142786	0.176130318	0.173331041	0	0.147612522	0.205272587	0.155227578	0.175587328	0	0	0.653163218	0.082139655	0.201408155	0.25304377	0.316475836	0.230894262	0.36011107	1.074588969	0.316562602	0.391185995	0.351095733	0.181314	0.522371831	0.157256038	0.166021314	0.182215954	0.221230685	0.167604677
